SMILES_A,SMILES_B,Target_neglog_molkg
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,2.737918842951633
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,2.499312318749546
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.4031020244476924
C1COCCN1,C1COCCO1,1.3593633953141937
C1COCCN1,C=CC#N,2.130152217907689
C1COCCN1,C=O,1.4783245443328237
C1COCCN1,CC#N,1.403666027131925
C1COCCN1,CC(=O)c1ccccc1,1.7201765897904957
C1COCCN1,CC(C)=O,1.343495441044638
C1COCCN1,CC(O)CO,1.376028511968414
C1COCCN1,CC(O)COC(C)COC(C)C,1.752991679142836
C1COCCN1,CC1=CC(=O)CC(C)(C)C1,1.8542793776800948
C1COCCN1,CC1CO1,1.5216595452334285
C1COCCN1,CCCCCCCCCCCCCOCCOCCOCCO,1.978145766759012
C1COCCN1,CCCCOCCCC,1.5910503347849787
C1COCCN1,CCCCOCCO,1.7877968740346415
C1COCCN1,CCO,1.4658480800681122
C1COCCN1,CCOC(C)=O,1.393189608139788
C1COCCN1,Cc1ccccc1,2.258910458383311
C1COCCN1,ClC(Cl)(Cl)Cl,1.9863196739430504
C1COCCN1,ClC(Cl)=C(Cl)Cl,1.9526546770598487
C1COCCN1,Nc1ccccc1,2.074694037887708
C1COCCN1,O=[N+]([O-])c1ccccc1,2.0301936186075067
C1COCCN1,OCCNCCO,1.8993884645097765
C1COCCN1,OCCO,1.1061734419976652
C1COCCN1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.637060510651516
C1COCCN1,OCCOc1ccccc1,1.4406139828518925
C1COCCO1,C=CC#N,2.311129417747608
C1COCCO1,C=CC(=O)OCC,1.85818196636263
C1COCCO1,C=O,1.435574557842031
C1COCCO1,CC#N,1.488621045089551
C1COCCO1,CC(=O)c1ccccc1,1.4752196184001358
C1COCCO1,CC(C)=O,1.0564456925428976
C1COCCO1,CC(O)CO,0.5544573067517784
C1COCCO1,CC(O)COC(C)COC(C)C,0.9952315079407181
C1COCCO1,CC1=CC(=O)CC(C)(C)C1,1.479920907763347
C1COCCO1,CC1CO1,1.615215064306092
C1COCCO1,CCCCCCCCCCCCCOCCOCCOCCO,1.300404575483504
C1COCCO1,CCCCOCCCC,1.060750869062134
C1COCCO1,CCCCOCCO,1.3838344513392289
C1COCCO1,CCO,0.6638455104296763
C1COCCO1,CCOC(C)=O,0.8948965218637981
C1COCCO1,Cc1ccccc1,1.0817471554029283
C1COCCO1,ClC(Cl)(Cl)Cl,1.4265346631558848
C1COCCO1,ClC(Cl)=C(Cl)Cl,1.5778895202256604
C1COCCO1,Nc1ccccc1,1.7925306495375792
C1COCCO1,O=[N+]([O-])c1ccccc1,2.151258217129543
C1COCCO1,OCCNCCO,1.7487456503543677
C1COCCO1,OCCO,0.7667983228890419
C1COCCO1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.0121437691476785
C1COCCO1,OCCOc1ccccc1,1.320910795380614
C=CC#N,C=CC(=O)OCC,2.5033154196475205
C=CC#N,C=O,1.966849285228989
C=CC#N,CC#N,2.4006571498194376
C=CC#N,CC(=O)c1ccccc1,2.24198890172086
C=CC#N,CC(C)=O,2.471303840088811
C=CC#N,CC(O)CO,2.281168983765782
C=CC#N,CC(O)COC(C)COC(C)C,2.644750250163667
C=CC#N,CC1=CC(=O)CC(C)(C)C1,2.6390272302121813
C=CC#N,CC1CO1,2.152373926927443
C=CC#N,CCCCCCCCCCCCCOCCOCCOCCO,3.072174947851232
C=CC#N,CCCCOCCCC,2.528174867049751
C=CC#N,CCCCOCCO,2.628205349839179
C=CC#N,CCO,2.3494127658482986
C=CC#N,CCOC(C)=O,2.578798054755813
C=CC#N,Cc1ccccc1,2.6462295588318625
C=CC#N,ClC(Cl)(Cl)Cl,2.557124059433529
C=CC#N,ClC(Cl)=C(Cl)Cl,2.6831515046385745
C=CC#N,Nc1ccccc1,2.4032633042543656
C=CC#N,O=[N+]([O-])c1ccccc1,2.5173186418485294
C=CC#N,OCCNCCO,1.904410680681032
C=CC#N,OCCO,2.3732873576601703
C=CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,2.8393407591573188
C=CC#N,OCCOc1ccccc1,2.6047783075705544
C=CC(=O)OCC,C=O,1.7526888235624352
C=CC(=O)OCC,CC#N,1.7610709986165776
C=CC(=O)OCC,CC(=O)c1ccccc1,1.8887874766988912
C=CC(=O)OCC,CC(C)=O,1.812599053902368
C=CC(=O)OCC,CC(O)CO,1.7963679767743823
C=CC(=O)OCC,CC(O)COC(C)COC(C)C,1.876088354424512
C=CC(=O)OCC,CC1=CC(=O)CC(C)(C)C1,1.9512870377548404
C=CC(=O)OCC,CC1CO1,1.9836135492290987
C=CC(=O)OCC,CCCCCCCCCCCCCOCCOCCOCCO,2.192136687571713
C=CC(=O)OCC,CCCCOCCCC,1.8615053778553663
C=CC(=O)OCC,CCCCOCCO,1.9383849302417249
C=CC(=O)OCC,CCO,1.8100558332276857
C=CC(=O)OCC,CCOC(C)=O,1.8178352640704232
C=CC(=O)OCC,Cc1ccccc1,1.759488298065694
C=CC(=O)OCC,ClC(Cl)(Cl)Cl,1.7806103882463156
C=CC(=O)OCC,ClC(Cl)=C(Cl)Cl,1.8681565313153083
C=CC(=O)OCC,Nc1ccccc1,1.8471628538934
C=CC(=O)OCC,O=[N+]([O-])c1ccccc1,2.257564450112992
C=CC(=O)OCC,OCCNCCO,1.5443391742225656
C=CC(=O)OCC,OCCO,1.6379329179983928
C=CC(=O)OCC,OCCOCCOCCOCCOCCOCCOCCOCCO,2.247640706517757
C=CC(=O)OCC,OCCOc1ccccc1,1.84201905440822
C=O,CC#N,1.262328376214536
C=O,CC(=O)c1ccccc1,1.8568005537134744
C=O,CC(C)=O,1.4279746236879065
C=O,CC(O)CO,1.2876295310201156
C=O,CC(O)COC(C)COC(C)C,1.5460041981282524
C=O,CC1=CC(=O)CC(C)(C)C1,1.5413213882690011
C=O,CC1CO1,1.434562626215952
C=O,CCCCCCCCCCCCCOCCOCCOCCO,2.06020459185454
C=O,CCCCOCCCC,1.789340170916064
C=O,CCCCOCCO,1.6834803567253265
C=O,CCO,1.328675740319731
C=O,CCOC(C)=O,1.7041506109543485
C=O,Cc1ccccc1,1.6248080250547805
C=O,ClC(Cl)(Cl)Cl,1.1345426943871542
C=O,ClC(Cl)=C(Cl)Cl,1.5205981895552836
C=O,Nc1ccccc1,1.2459301409235712
C=O,O=[N+]([O-])c1ccccc1,2.008530502831214
C=O,OCCNCCO,2.005679204511295
C=O,OCCO,1.1709677310049666
C=O,OCCOCCOCCOCCOCCOCCOCCOCCO,1.5530537253848935
C=O,OCCOc1ccccc1,1.5523243746718365
CC#N,CC(=O)c1ccccc1,1.886909223854607
CC#N,CC(C)=O,1.3822383414797206
CC#N,CC(O)CO,0.4043456193200719
CC#N,CC(O)COC(C)COC(C)C,1.2371627605849653
CC#N,CC1=CC(=O)CC(C)(C)C1,1.5814159035966175
CC#N,CC1CO1,1.8400341918659184
CC#N,CCCCCCCCCCCCCOCCOCCOCCO,1.7840967951601328
CC#N,CCCCOCCCC,1.0311385783405198
CC#N,CCCCOCCO,1.4321977779634163
CC#N,CCO,0.605968238661572
CC#N,CCOC(C)=O,0.7364779316772225
CC#N,Cc1ccccc1,1.2396002395886876
CC#N,ClC(Cl)(Cl)Cl,1.0672775608156515
CC#N,ClC(Cl)=C(Cl)Cl,1.391251292548306
CC#N,Nc1ccccc1,1.6625923042779105
CC#N,O=[N+]([O-])c1ccccc1,1.8725858682787224
CC#N,OCCNCCO,1.595380721804849
CC#N,OCCO,0.8087370642073912
CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,1.551310627146823
CC#N,OCCOc1ccccc1,1.180599648069791
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.4440698369404945
