PairKey,SMILES_A,SMILES_B,Target_neglog_molkg,source
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1||CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,2.737918842951633,Acute_Oral_Toxicity
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC||CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,2.499312318749546,Acute_Oral_Toxicity
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC||N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.4031020244476924,Acute_Oral_Toxicity
C1COCCN1||C1COCCO1,C1COCCN1,C1COCCO1,1.3593633953141937,Smyth
C1COCCN1||C=CC#N,C1COCCN1,C=CC#N,2.130152217907689,Smyth
C1COCCN1||C=O,C1COCCN1,C=O,1.4783245443328237,Smyth
C1COCCN1||CC#N,C1COCCN1,CC#N,1.403666027131925,Smyth
C1COCCN1||CC(=O)c1ccccc1,C1COCCN1,CC(=O)c1ccccc1,1.7201765897904957,Smyth
C1COCCN1||CC(C)=O,C1COCCN1,CC(C)=O,1.343495441044638,Smyth
C1COCCN1||CC(O)CO,C1COCCN1,CC(O)CO,1.376028511968414,Smyth
C1COCCN1||CC(O)COC(C)COC(C)C,C1COCCN1,CC(O)COC(C)COC(C)C,1.752991679142836,Smyth
C1COCCN1||CC1=CC(=O)CC(C)(C)C1,C1COCCN1,CC1=CC(=O)CC(C)(C)C1,1.8542793776800948,Smyth
C1COCCN1||CC1CO1,C1COCCN1,CC1CO1,1.5216595452334285,Smyth
C1COCCN1||CCCCCCCCCCCCCOCCOCCOCCO,C1COCCN1,CCCCCCCCCCCCCOCCOCCOCCO,1.978145766759012,Smyth
C1COCCN1||CCCCOCCCC,C1COCCN1,CCCCOCCCC,1.5910503347849787,Smyth
C1COCCN1||CCCCOCCO,C1COCCN1,CCCCOCCO,1.7877968740346415,Smyth
C1COCCN1||CCO,C1COCCN1,CCO,1.4658480800681122,Smyth
C1COCCN1||CCOC(C)=O,C1COCCN1,CCOC(C)=O,1.393189608139788,Smyth
C1COCCN1||Cc1ccccc1,C1COCCN1,Cc1ccccc1,2.258910458383311,Smyth
C1COCCN1||ClC(Cl)(Cl)Cl,C1COCCN1,ClC(Cl)(Cl)Cl,1.9863196739430504,Smyth
C1COCCN1||ClC(Cl)=C(Cl)Cl,C1COCCN1,ClC(Cl)=C(Cl)Cl,1.9526546770598487,Smyth
C1COCCN1||Nc1ccccc1,C1COCCN1,Nc1ccccc1,2.074694037887708,Smyth
C1COCCN1||O=[N+]([O-])c1ccccc1,C1COCCN1,O=[N+]([O-])c1ccccc1,2.0301936186075067,Smyth
C1COCCN1||OCCNCCO,C1COCCN1,OCCNCCO,1.8993884645097765,Smyth
C1COCCN1||OCCO,C1COCCN1,OCCO,1.1061734419976652,Smyth
C1COCCN1||OCCOCCOCCOCCOCCOCCOCCOCCO,C1COCCN1,OCCOCCOCCOCCOCCOCCOCCOCCO,1.637060510651516,Smyth
C1COCCN1||OCCOc1ccccc1,C1COCCN1,OCCOc1ccccc1,1.4406139828518925,Smyth
C1COCCO1||C=CC#N,C1COCCO1,C=CC#N,2.311129417747608,Smyth
C1COCCO1||C=CC(=O)OCC,C1COCCO1,C=CC(=O)OCC,1.85818196636263,Smyth
C1COCCO1||C=O,C1COCCO1,C=O,1.435574557842031,Smyth
C1COCCO1||CC#N,C1COCCO1,CC#N,1.488621045089551,Smyth
C1COCCO1||CC(=O)c1ccccc1,C1COCCO1,CC(=O)c1ccccc1,1.4752196184001358,Smyth
C1COCCO1||CC(C)=O,C1COCCO1,CC(C)=O,1.0564456925428976,Smyth
C1COCCO1||CC(O)CO,C1COCCO1,CC(O)CO,0.5544573067517784,Smyth
