SMILES,LD50,Name,BertzCT,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HeavyAtomCount,HeavyAtomMolWt,Kappa3,MaxPartialCharge,MinAbsPartialCharge,MinEStateIndex,MinPartialCharge,MolLogP,MolWt,NumHAcceptors,NumHDonors,NumHeteroatoms,RingCount,SMR_VSA10,SlogP_VSA12,SlogP_VSA5,VSA_EState4,VSA_EState9,qed,n_measurements,MW
Br/C=C/Br,3.477,"(e)-1,2-dibromoethene",19.21928095,1.309307341,0.047619048,1.285714286,0.0,0.0,4,183.83,2.7,-0.011957664,0.011957664,1.729166667,-0.058921764,2.2474,185.846,0,0,2,0,31.8598878,31.8598878,0.0,0.0,0.0,0.543500411,1,185.84599999999998
Br/C=C/c1ccccc1,2.166,[(e)-2-bromoethenyl]benzene,188.9824258,2.23200394,1.05501666,1.319349416,0.636889327,0.942114503,9,175.992,2.020085436,-0.018293578,0.018293578,1.217013889,-0.062226095,3.0522,183.048,0,0,1,1,22.005964,15.9299439,5.563451492,1.217013889,0.0,0.627091656,1,183.048
BrC(Br)(Br)c1ccc2ccccc2n1,1.749,2-(tribromomethyl)quinoline,462.1189187,9.647877913,1.888854667,3.107570725,1.223911141,1.886389981,14,373.829,2.176308456,0.176027884,0.176027884,-0.433500567,-0.249489067,4.5298,379.877,1,0,4,2,58.69275663,47.78983169,5.693927995,1.892523148,0.0,0.612718137,1,379.87700000000007
BrC(Br)Br,2.433,bromoform,8.0,6.680767401,0.0,0.0,0.0,0.0,4,251.723,9.876728395,0.124221039,0.063716905,0.270833333,-0.063716905,2.4547,252.731,0,0,3,0,47.78983169,47.78983169,0.0,0.0,0.0,0.58127781,1,252.731
BrC(Br)C(Br)Br,2.459,"1,1,2,2-tetrabromoethane",26.52932501,7.072459617,0.19047619,5.142857143,0.0,0.0,6,343.638,4.088918919,0.091979405,0.07429964,0.310185185,-0.07429964,3.2182,345.654,0,0,4,0,63.71977559,63.71977559,0.0,0.0,0.0,0.640241007,1,345.654
BrC/C=C/CBr,3.4965,"(e)-1,4-dibromobut-2-ene",34.81274391,2.074971972,0.344840828,1.092486766,0.125988158,0.654653671,6,207.852,4.7,0.021187972,0.021187972,0.956944444,-0.088294773,2.3324,213.9,0,0,2,0,31.8598878,31.8598878,0.0,0.0,0.0,0.48827595,2,213.89999999999998
BrCBr,3.207,dibromomethane,2.754887502,2.72741187,0.0,0.0,0.0,0.0,3,171.819,2.96,0.058788888,0.058788888,0.875,-0.080248651,1.7337,173.835,0,0,2,0,31.8598878,31.8598878,0.0,0.0,0.0,0.490092179,1,173.83499999999998
BrCC(Br)C1CCC(Br)C(Br)C1,2.123,"1,2-dibromo-4-(1,2-dibromoethyl)cyclohexane",139.01955,7.451334881,2.392528,7.847749611,1.563364988,3.796841903,12,415.704,3.247866515,0.027365852,0.027365852,0.63662037,-0.091586008,4.4719,427.8,0,0,4,1,63.71977559,63.71977559,19.26246487,0.0,0.0,0.570356443,1,427.8
BrCCBr,3.24,"1,2-dibromoethane",6.0,1.963961012,0.071428571,1.928571429,0.0,0.0,4,183.83,2.96,0.012858598,0.012858598,1.048611111,-0.091903899,1.7762,187.862,0,0,2,0,31.8598878,31.8598878,0.0,0.0,0.0,0.549640042,1,187.862
BrCCc1ccccc1,2.358,2-bromoethylbenzene,157.4784208,2.717579066,1.225990915,1.62249005,0.753786183,1.211623947,9,175.992,2.18510787,0.007176103,0.007176103,1.052592593,-0.092448853,2.624,185.064,0,0,1,1,15.9299439,15.9299439,5.563451492,1.397569444,0.0,0.620953849,1,185.06400000000002
