DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_ml/kg,LD50_B_ml/kg,Mixture_LD50_ml/kg,Unit
Acetone,Acetonitrile,CC(=O)C,CC#N,11.16,8.27,2.617,ml/kg
Acetone,Acetophenone,CC(=O)C,CC(=O)c1ccccc1,11.16,2.48,3.41,ml/kg
Acetone,Acrylonitrile,CC(=O)C,C=CC#N,11.16,0.14,0.236,ml/kg
Acetone,Aniline,CC(=O)C,Nc1ccccc1,11.16,0.71,1.535,ml/kg
Acetone,Butyl Cellosolve,CC(=O)C,CCCCOCCO,11.16,2.38,3.633,ml/kg
Acetone,Butyl ether,CC(=O)C,CCCCOCCCC,11.16,13.6,12.905,ml/kg
Acetone,Carbon tetrachloride,CC(=O)C,ClC(Cl)(Cl)Cl,11.16,3.08,3.772,ml/kg
Acetone,Diethanolamine,CC(=O)C,OCCNCCO,11.16,0.8,1.523,ml/kg
Acetone,Dioxane,CC(=O)C,C1COCCO1,11.16,6.47,7.061,ml/kg
Acetone,Ethyl acetate,CC(=O)C,CCOC(=O)C,11.16,10.9,12.119,ml/kg
Acetone,Ethyl acrylate,CC(=O)C,CCOC(=O)C=C,11.16,0.83,1.431,ml/kg
Acetone,Ethyl alcohol,CC(=O)C,CCO,11.16,19.7,16.568,ml/kg
Acetone,Ethylene glycol,CC(=O)C,OCCO,11.16,6.46,18.185,ml/kg
Acetone,Formalin,CC(=O)C,C=O,11.16,1.85,1.754,ml/kg
Acetone,Isophorone,CC(=O)C,CC1=CC(=O)CC(C)(C)C1,11.16,2.28,2.337,ml/kg
Acetone,Morpholine,CC(=O)C,C1COCCN1,11.16,1.62,3.674,ml/kg
Acetone,Nitrobenzene,CC(=O)C,[O-][N+](=O)c1ccccc1,11.16,0.5,0.651,ml/kg
Acetone,Phenyl Cellosolve,CC(=O)C,c1ccccc1OCCO,11.16,3.28,7.8,ml/kg
Acetone,PEG 400,CC(=O)C,OCCOCCOCCOCCOCCOCCOCCOCCO,11.16,40.1,17.637,ml/kg
Acetone,Propylene glycol,CC(=O)C,CC(O)CO,11.16,44.3,20.26,ml/kg
Acetone,Propylene oxide,CC(=O)C,CC1CO1,11.16,0.73,3.114,ml/kg
Acetone,Tergitol XD,CC(=O)C,CCCCCCCCCCCCCOCCOCCOCCO,11.16,5.66,9.049,ml/kg
Acetone,Tetrachloroethylene,CC(=O)C,ClC(Cl)=C(Cl)Cl,11.16,8,5.093,ml/kg
Acetone,Toluene,CC(=O)C,Cc1ccccc1,11.16,7.8,6.904,ml/kg
Acetone,Ucon 50HB260,CC(=O)C,CC(C)OCC(C)OCC(C)O,11.16,5.33,14.429,ml/kg
Acetone,Ucon LB250,CC(=O)C,CC(C)OCC(C)OCC(C)O,11.16,10.1,20.007,ml/kg
Acetonitrile,Acetophenone,CC#N,CC(=O)c1ccccc1,8.27,2.48,1.153,ml/kg
Acetonitrile,Acrylonitrile,CC#N,C=CC#N,8.27,0.14,0.235,ml/kg
Acetonitrile,Aniline,CC#N,Nc1ccccc1,8.27,0.71,1.614,ml/kg
Acetonitrile,Butyl Cellosolve,CC#N,CCCCOCCO,8.27,2.38,3.487,ml/kg
Acetonitrile,Butyl ether,CC#N,CCCCOCCCC,8.27,13.6,10.286,ml/kg
Acetonitrile,Carbon tetrachloride,CC#N,ClC(Cl)(Cl)Cl,8.27,3.08,7.013,ml/kg
Acetonitrile,Diethanolamine,CC#N,OCCNCCO,8.27,0.8,1.971,ml/kg
Acetonitrile,Dioxane,CC#N,C1COCCO1,8.27,6.47,2.305,ml/kg
Acetonitrile,Ethyl acetate,CC#N,CCOC(=O)C,8.27,10.9,14.037,ml/kg
Acetonitrile,Ethyl acrylate,CC#N,CCOC(=O)C=C,8.27,0.83,1.437,ml/kg
Acetonitrile,Ethyl alcohol,CC#N,CCO,8.27,19.7,13.705,ml/kg
Acetonitrile,Ethylene glycol,CC#N,OCCO,8.27,6.46,8.435,ml/kg
Acetonitrile,Formalin,CC#N,C=O,8.27,1.85,2.071,ml/kg
Acetonitrile,Isophorone,CC#N,CC1=CC(=O)CC(C)(C)C1,8.27,2.28,2.75,ml/kg
Acetonitrile,Morpholine,CC#N,C1COCCN1,8.27,1.62,2.822,ml/kg
Acetonitrile,Nitrobenzene,CC#N,[O-][N+](=O)c1ccccc1,8.27,0.5,1.109,ml/kg
Acetonitrile,Phenyl Cellosolve,CC#N,c1ccccc1OCCO,8.27,3.28,6.263,ml/kg
Acetonitrile,PEG 400,CC#N,OCCOCCOCCOCCOCCOCCOCCOCCO,8.27,40.1,6.041,ml/kg
Acetonitrile,Propylene glycol,CC#N,CC(O)CO,8.27,44.3,25.342,ml/kg
Acetonitrile,Propylene oxide,CC#N,CC1CO1,8.27,0.73,0.871,ml/kg
Acetonitrile,Tergitol XD,CC#N,CCCCCCCCCCCCCOCCOCCOCCO,8.27,5.66,3.327,ml/kg
Acetonitrile,Tetrachloroethylene,CC#N,ClC(Cl)=C(Cl)Cl,8.27,8,3.49,ml/kg
Acetonitrile,Toluene,CC#N,Cc1ccccc1,8.27,7.8,4.641,ml/kg
Acetonitrile,Ucon 50HB260,CC#N,CC(C)OCC(C)OCC(C)O,8.27,5.33,5.788,ml/kg
Acetonitrile,Ucon LB250,CC#N,CC(C)OCC(C)OCC(C)O,8.27,10.1,8.12,ml/kg
Acetophenone,Acrylonitrile,CC(=O)c1ccccc1,C=CC#N,2.48,0.14,0.541,ml/kg
Acetophenone,Aniline,CC(=O)c1ccccc1,Nc1ccccc1,2.48,0.71,1.453,ml/kg
Acetophenone,Butyl Cellosolve,CC(=O)c1ccccc1,CCCCOCCO,2.48,2.38,1.63,ml/kg
Acetophenone,Butyl ether,CC(=O)c1ccccc1,CCCCOCCCC,2.48,13.6,3.252,ml/kg
Acetophenone,Carbon tetrachloride,CC(=O)c1ccccc1,ClC(Cl)(Cl)Cl,2.48,3.08,1.238,ml/kg
