DrugA,DrugB,SMILES_A,SMILES_B,LD50_A_mg/kg,LD50_B_mg/kg,Mixture_LD50_mg/kg
Acetone,Acetonitrile,CC(=O)C,CC#N,8760.6,6500.219999999999,2055.6535
Acetone,Acetophenone,CC(=O)C,CC(=O)c1ccccc1,8760.6,2549.44,3091.1650000000004
Acetone,Acrylonitrile,CC(=O)C,C=CC#N,8760.6,112.84000000000002,187.73800000000003
Acetone,Aniline,CC(=O)C,Nc1ccccc1,8760.6,725.6199999999999,1386.8725
Acetone,Butyl Cellosolve,CC(=O)C,CCCCOCCO,8760.6,2146.76,3064.4355
Acetone,Butyl ether,CC(=O)C,CCCCOCCCC,8760.6,10390.4,9994.922499999999
Acetone,Carbon tetrachloride,CC(=O)C,ClC(Cl)(Cl)Cl,8760.6,4909.52,4486.794
Acetone,Diethanolamine,CC(=O)C,OCCNCCO,8760.6,877.6,1433.143
Acetone,Dioxane,CC(=O)C,C1COCCO1,8760.6,6683.509999999999,6418.449
Acetone,Ethyl acetate,CC(=O)C,CCOC(=O)C,8760.6,9831.800000000001,10222.376499999998
Acetone,Ethyl acrylate,CC(=O)C,CCOC(=O)C=C,8760.6,761.1099999999999,1217.781
Acetone,Ethyl alcohol,CC(=O)C,CCO,8760.6,15543.300000000001,13039.016000000001
Acetone,Ethylene glycol,CC(=O)C,OCCO,8760.6,7189.9800000000005,17257.565
Acetone,Formalin,CC(=O)C,C=O,8760.6,2016.5000000000002,1644.375
Acetone,Isophorone,CC(=O)C,CC1=CC(=O)CC(C)(C)C1,8760.6,2104.44,1995.7980000000005
Acetone,Morpholine,CC(=O)C,C1COCCN1,8760.6,1631.34,3291.9039999999995
Acetone,Nitrobenzene,CC(=O)C,[O-][N+](=O)c1ccccc1,8760.6,599.5,645.792
Acetone,Phenyl Cellosolve,CC(=O)C,c1ccccc1OCCO,8760.6,3614.56,7359.3
Acetone,PEG 400,CC(=O)C,OCCOCCOCCOCCOCCOCCOCCOCCO,8760.6,45232.799999999996,16869.790499999996
Acetone,Propylene glycol,CC(=O)C,CC(O)CO,8760.6,45894.799999999996,18446.730000000003
Acetone,Propylene oxide,CC(=O)C,CC1CO1,8760.6,627.07,2559.708
Acetone,Tergitol XD,CC(=O)C,CCCCCCCCCCCCCOCCOCCOCCO,8760.6,5999.6,8347.702500000001
Acetone,Tetrachloroethylene,CC(=O)C,ClC(Cl)=C(Cl)Cl,8760.6,12976.0,6129.4255
Acetone,Toluene,CC(=O)C,Cc1ccccc1,8760.6,6762.6,5702.704000000001
Acetone,Ucon 50HB260,CC(=O)C,CC(C)OCC(C)OCC(C)O,8760.6,5596.500000000001,13238.6075
Acetone,Ucon LB250,CC(=O)C,CC(C)OCC(C)OCC(C)O,8760.6,10605.0,18356.4225
Acetonitrile,Acetophenone,CC#N,CC(=O)c1ccccc1,6500.219999999999,2549.44,1045.771
Acetonitrile,Acrylonitrile,CC#N,C=CC#N,6500.219999999999,112.84000000000002,187.06
Acetonitrile,Aniline,CC#N,Nc1ccccc1,6500.219999999999,725.6199999999999,1459.056
Acetonitrile,Butyl Cellosolve,CC#N,CCCCOCCO,6500.219999999999,2146.76,2943.0280000000002
Acetonitrile,Butyl ether,CC#N,CCCCOCCCC,6500.219999999999,10390.4,7971.650000000001
Acetonitrile,Carbon tetrachloride,CC#N,ClC(Cl)(Cl)Cl,6500.219999999999,4909.52,8345.47
Acetonitrile,Diethanolamine,CC#N,OCCNCCO,6500.219999999999,877.6,1855.6965
Acetonitrile,Dioxane,CC#N,C1COCCO1,6500.219999999999,6683.509999999999,2096.3975
Acetonitrile,Ethyl acetate,CC#N,CCOC(=O)C,6500.219999999999,9831.800000000001,11847.228000000001
Acetonitrile,Ethyl acrylate,CC#N,CCOC(=O)C=C,6500.219999999999,761.1099999999999,1223.6055000000001
Acetonitrile,Ethyl alcohol,CC#N,CCO,6500.219999999999,15543.300000000001,10792.687500000002
Acetonitrile,Ethylene glycol,CC#N,OCCO,6500.219999999999,7189.9800000000005,8009.0325
Acetonitrile,Formalin,CC#N,C=O,6500.219999999999,2016.5000000000002,1942.5980000000002
Acetonitrile,Isophorone,CC#N,CC1=CC(=O)CC(C)(C)C1,6500.219999999999,2104.44,2349.875
Acetonitrile,Morpholine,CC#N,C1COCCN1,6500.219999999999,1631.34,2529.9230000000002
