SMILES_A,SMILES_B,Mixture_neglog_molkg
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,2.7379188429516326
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,2.499312318749546
N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,2.4031020244476924
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.4440698369404945
OO,CC(=O)OO,2.2777811444398344
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,4.4978622295777715
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CN(C)C(=S)SSC(=S)N(C)C,2.548082522945193
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,3.06933307817748
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,2.6875726689992043
CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,2.672207951371229
CC(C)=CCCC(C)=CCO,CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,2.701934346797424
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CC1=C(C(=O)Nc2ccccc2)SCCO1,2.55928719021898
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,CNC(=N[N+](=O)[O-])NCc1cnc(Cl)s1,2.306742637286912
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,COCC(=O)N(c1c(C)cccc1C)C(C)C(=O)OC,2.564694596478458
CC(C)CC(C)c1sccc1NC(=O)c1cn(C)nc1C(F)(F)F,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.2651041120701434
CC(C)N(C(=O)COc1nnc(C(F)(F)F)s1)c1ccc(F)cc1,CSc1nnc(C(C)(C)C)c(=O)n1N,2.3576936724105257
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC(COc1ccc(Oc2ccccc2)cc1)Oc1ccccn1,3.3740313912683604
CC(Oc1ccc(Oc2ccc(C#N)cc2F)cc1)C(=O)O,CCCCOC(=O)C(C)Oc1ccc(Oc2ccc(C#N)cc2F)cc1,2.5347775896202194
O=c1[nH]sc2ccccc12,CC1(C)C(=O)N(CO)C(=O)N1CO,2.6457764077692274
CC1(C)C(=O)N(Cl)C(=O)N1Cl,CC1(C)C(=O)N(Cl)C(=O)N1Br,2.6880414079420025
CCOc1cc(C(C)(C)C)ccc1C1COC(c2c(F)cccc2F)=N1,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,3.0212463313746016
CC1(C)C(C=C(Br)Br)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,COP(=S)(OC)Oc1nc(Cl)c(Cl)cc1Cl,3.95180540154951
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,3.324015284673845
CNC(=O)c1cc(Cl)cc(C)c1NC(=O)c1cc(Br)nn1-c1ncccc1Cl,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,4.539128414543988
O=C(NC(=O)c1c(F)cccc1F)Nc1ccc(Cl)cc1,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,3.7780373088010344
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,CC1(C)C(C=C(Cl)C(F)(F)F)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,3.60301218368443
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.7082745521561304
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc1cccc(Oc2ccccc2)c1,2.8253003374960057
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,2.5033343528317467
COc1ccc(-c2ccccc2)cc1NNC(=O)OC(C)C,CCC(C)C1OC2(C=CC1C)CC1CC(CC=C(C)C(OC3CC(OC)C(OC4CC(OC)C(O)C(C)O4)C(C)O3)C(C)C=CC=C3COC4C(O)C(C)=CC(C(=O)O1)C34O)O2.COC1CC(OC2C(C)OC(OC3C(C)=CCC4CC(CC5(C=CC(C)C(C(C)C)O5)O4)OC(=O)C4C=C(C)C(O)C5OCC(=CC=CC3C)C45O)CC2OC)OC(C)C1O,3.34669540201995
CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=C(C)C4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1.CCC1CCCC(OC2CCC(N(C)C)C(C)O2)C(C)C(=O)C2=CC3C(C=CC4CC(OC5OC(C)C(OC)C(OC)C5OC)CC43)C2CC(=O)O1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,4.257922946633413
CCCCC(CC)COC(=O)COc1ccc(Cl)cc1C,NCCO.O=C(O)c1nc(Cl)ccc1Cl,2.332592953634165
CCCCCCCC(=O)Oc1c(Br)cc(C#N)cc1Br,CCCCCCC(C)OC(=O)COc1nc(F)c(Cl)c(N)c1Cl,3.437811571063345
CCCCNC(=O)OCC#CI,CCCCCCCCCC[N+](C)(C)CCCCCCCCCC.[Cl-],2.9511749696767113
COC(=O)Nc1nc2ccccc2[nH]1,CCCCCCCCn1sccc1=O,2.298452748982802
CCCCCCCCn1sccc1=O,Cn1sccc1=O,3.7612378576197814
CCOC(=O)COc1cc(-n2ncc(C(F)(F)F)c(C)c2=O)c(F)cc1Cl,CCNc1nc(Cl)nc(NC(C)C)n1,2.4840358339868454
CCNc1nc(Cl)nc(NC(C)C)n1,CCOCN(C(=O)CCl)c1c(C)cccc1CC,2.478173040489438
CCOC(=O)C(Cl)Cc1cc(-n2nc(C)n(C(F)F)c2=O)c(F)cc1Cl,O=C(O)CSc1cc(N=c2sc(=O)n3n2CCCC3)c(F)cc1Cl,2.722202003706092
CCOC(=O)COc1cc(-c2nn(C)c(OC(F)F)c2Cl)c(F)cc1Cl,COc1c(Cl)ccc(Cl)c1C(=O)O,2.5358054665111864
CCOC(=O)Nc1cccc(OC(=O)Nc2ccccc2)c1,COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,2.7549416560222224
CCOP(=S)(OCC)Oc1nc(Cl)c(Cl)cc1Cl,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,3.9965296283854546
CCc1cnc(C2=NC(C)(C(C)C)C(=O)N2)c(C(=O)O)c1,COCC(C)N(C(=O)CCl)c1c(C)csc1C,2.3515475459566235
COC(=O)Nc1nc2ccccc2[nH]1,CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.217989079970455
