PairKey,Formulation_ID,DrugA,DrugB,CASRN_A,CASRN_B,SMILES_A,SMILES_B,MW_A,MW_B,Percent_Active_A,Percent_Active_B,Total_Active_Percent_Known,Known_Component_Count,Effective_Mixture_MW_ActiveOnly,LD50_A_mg_per_kg,LD50_B_mg_per_kg,neglog_A,neglog_B,Mixture_LD50_mg_per_kg,Mixture_neglog_molkg
C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1||CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,AcuteOralToxicity_PID_142,Clodinafop-propargyl,Cloquintocet-mexyl,105512-06-9,99607-70-2,C#CCOC(=O)C(C)Oc1ccc(Oc2ncc(Cl)cc2F)cc1,CCCCCC(C)OC(=O)COc1ccc(Cl)c2cccnc12,349.745,335.8310000000001,22.3,6.0,28.3,2.0,346.69956504605636,2235.5,3049.0,2.1943768402738066,2.041963358286978,2240.0,2.7379188429516326
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC||CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,AcuteOralToxicity_PID_489,Difenoconazole,Mandipropamid,119446-68-3,374726-62-2,CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,406.2690000000001,411.8850000000001,21.9,21.9,43.8,2.0,409.0577252326581,1453.0,,2.4465480708327907,,2958.0,2.499312318749546
C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC||N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,AcuteOralToxicity_PID_488,Chlorothalonil,Mandipropamid,1897-45-6,374726-62-2,N#Cc1c(Cl)c(Cl)c(Cl)c(C#N)c1Cl,C#CCOc1ccc(CCNC(=O)C(OCC#C)c2ccc(Cl)cc2)cc1OC,265.914,411.8850000000001,33.3,3.33,36.629999999999995,2.0,274.7664108695473,422.0,,2.7994287519685725,,2965.0,2.4031020244476924
CC(=NC#N)N(C)Cc1ccc(Cl)nc1||Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,AcuteOralToxicity_PID_336,Acetamiprid,Bifenthrin,160430-64-8,82657-04-3,CC(=NC#N)N(C)Cc1ccc(Cl)nc1,Cc1c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)cccc1-c1ccccc1,222.67900000000003,422.8740000000001,13.0,10.0,23.0,2.0,280.393066741566,,54.5,,3.889814481513789,438.5,3.4440698369404945
CC(=O)OO||OO,AcuteOralToxicity_PID_657,Hydrogen Peroxide,Peracetic Acid,7722-84-1,79-21-0,OO,CC(=O)OO,34.014,76.051,5.6,0.3,5.8999999999999995,2.0,34.99763675417311,,219.5,,2.539670404417407,3129.0,2.2777811444398344
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,AcuteOralToxicity_PID_648,Tebuconazole,Propiconazole,107534-96-3,60207-90-1,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CCCC1COC(Cn2cncn2)(c2ccc(Cl)cc2Cl)O1,307.825,342.2260000000001,0.5,0.5,1.0,2.0,324.1152415733535,2526.0,1508.5,2.085870541924444,2.3557676866835164,1030.0,4.4978622295777715
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||CN(C)C(=S)SSC(=S)N(C)C,AcuteOralToxicity_PID_513,Tebuconazole,Thiram,107534-96-3,137-26-8,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,CN(C)C(=S)SSC(=S)N(C)C,307.825,240.44400000000002,0.43,10.78,22.569999999999997,4.0,249.47075716734952,2526.0,560.0,2.085870541924444,2.632825917225821,3129.0,2.548082522945193
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,AcuteOralToxicity_PID_512,Tebuconazole,Fludioxonil,107534-96-3,131341-86-1,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,N#Cc1c[nH]cc1-c1cccc2c1OC(F)(F)O2,307.825,248.18799999999993,0.45,0.36,12.57,4.0,258.05150990651134,2526.0,,2.085870541924444,,1750.0,3.06933307817748
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1||O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,AcuteOralToxicity_PID_430,Tebuconazole,Imidacloprid,107534-96-3,138261-41-3,CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,307.825,255.665,10.0,1.0,21.0,3.0,320.0350369912804,2526.0,,2.085870541924444,,3129.0,2.6875726689992043
CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1||CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,AcuteOralToxicity_PID_536,Flurprimidol,Paclobutrazol,56425-91-3,76738-62-0,CC(C)C(O)(c1ccc(OC(F)(F)F)cc1)c1cncnc1,CC(C)(C)C(O)C(Cc1ccc(Cl)cc1)n1cncn1,312.29099999999994,293.798,5.6,5.6,12.6,3.0,296.1750707177632,709.0,1300.0,2.643913233175666,2.3541054827419545,5000.0,2.672207951371229
