SMILES,rat_oral_LD50
CCS(=O)CCOP(=O)(OC)OC=C(Cl)Cl,3.451539433
CN(C)C(=S)c1ccc2c(c1)OCO2,3.423079883
CSc1nc(NC(C)C)nc(NC(C)C)n1,2.0604532
OC(C1CO1)C(O)C1CO1,4.018647011
O=C1C=CCC2C3CCCN4CCCC(CN12)C34,3.099303547
OCC1OC(N2CCN(C3OC(CO)C(O)C(O)C3O)CC2)C(O)C(O)C1O,1.136107261
O=C(Nc1cccc2c(=O)c3c(ccc4c5cc(NC(=O)c6ccccc6)c6c(=O)c7ccccc7c(=O)c6c5[nH]c43)c(=O)c12)c1ccccc1,2.045101863
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,3.058258285
O=S1(=O)OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,4.370993934
CCOP(=O)(CC)OCC,1.853162721
C=Cc1ccc(OCC2CO2)cc1,2.246042874
O=C1OC(CN2CCOCC2)CC12CC(CN1CCOCC1)OC2=O,2.072376135
NS(=O)(=O)C1CCCCC1,3.30974192
CC(C)=NNC(=O)CSc1cc(Oc2ccc(Cl)cc2)ncn1,2.891885448
COc1ccccc1OC,2.191011178
CCOP(=S)(CC)Sc1ccc(Cl)cc1,4.939166741
CCOC(=O)c1cnn(-c2cccc(C)c2)c1C#N,2.708041683
c1ccc(CC2CCNCC2)cc1,2.511326216
CN(Cc1ccc(C(C)(C)C)cc1)Cc1cccc2ccccc12,1.899650908
O=[N+]([O-])c1cc([N+](=O)[O-])c2nc(C(F)(F)F)[nH]c2c1,4.380038269
COP(=S)(OC)SCCSC,3.491047768
CCCCCCc1ccccc1O,2.137147093
FC1(F)C(Cl)=C(Cl)C(F)(F)C1(F)F,2.941917639
O=[N+]([O-])c1c(Cl)cc2nc(C(F)(F)F)[nH]c2c1Cl,3.920852049
CCC(=O)OC1C(C)OC(OC2C(C)OC(OC3C(CC=O)CC(C)C(O)C=CC=CCC(C)OC(=O)CC(OC(C)=O)C3OC)C(O)C2N(C)C)CC1(C)O,1.920792696
O=C(Oc1cc(C(=O)Oc2cc(C(=O)OC3C(OC(=O)c4cc(O)c(O)c(O)c4)CC(O)(C(=O)O)CC3OC(=O)c3cc(O)c(O)c(O)c3)cc(O)c2O)cc(O)c1O)c1cc(O)c(O)c(O)c1,2.410750794
C=COC(=O)CCCCC(=O)OC,1.477604314
CC(C)NCC(O)COc1ccccc1C1CCCCC1,2.197369979
CCOP(=S)(OCC)SCSC(=S)N(C)C,3.328351057
O=C(CF)Nc1ccc(Br)cc1,3.903187318
CCOC(=O)C1=CN(C(=O)CC)C2CCCC(C)N2C1=O,1.995670606
