Drug,Y
BrC(Br)(Br)c1ccc2ccccc2n1,1.749
BrC(Br)Br,2.343
BrC(Br)C(Br)Br,2.459
BrC12CC3CC(CC(C3)C1)C2,1.405
BrC=CBr,3.477
BrC=Cc1ccccc1,2.166
BrCBr,3.207
BrCC=CCBr,3.455
BrCCBr,3.24
BrCc1cccc(Oc2ccccc2)c1,2.0540000000000003
Brc1c[nH]cn1,2.769
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,6.699
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
Brc1ccc2[nH]cc(CC3CCNCC3)c2c1,4.069
Brc1ccccc1,1.765
C#CC(=O)C=CC,3.122
C#CC(C)(C)N,1.7519999999999998
C#CC(C)(C)NC(=O)C=Cc1cc(OC)c(OC)c(OC)c1,2.7260000000000004
C#CC(C)(C)O,1.635
C#CC(C)(O)C(O)c1ccccc1,2.383
C#CC(C)OC(=O)Nc1cccc(Cl)c1,1.952
C#CC(O)C=CC,3.451
C#CC(O)CCC,2.891
C#CC1(O)CCCCC1,2.316
C#CC1(OC(C)=O)CCCCC1C(C)CC,2.514
C#CCC1=C(C)C(OC(=O)C2C(C=C(C)C)C2(C)C)CC1=O,2.815
C#CCN,1.849
C#CCN(C)C1CCc2ccccc21,2.87
C#CCN(C)c1ccccc1OC(=O)NC,3.5610000000000004
C#CCN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,2.562
C#CCN1CCC2=C(C1)c1c(O)cc(C(C)C(C)CCCCC)cc1OC2(C)C,2.643
C#CCO,3.448
C#CCOC(=O)C=C(C)C=CCC(C)CCCC(C)C,1.751
C#CCOC(=O)CCCCC(=O)OCC#C,3.0460000000000003
C#CCOCC#C,2.242
C#CCON=C1CC2CCC1(C)C2(C)C,2.166
C#CCOP(=O)(OCC(C)C)c1ccccc1,2.624
C#CCOS(=O)OC(CC)COc1ccc(C(C)(C)CC)cc1,2.228
C#CCOS(=O)OC1CCCCC1Oc1ccc(C(C)(C)C)cc1,2.374
C#CCOc1ccc(N)cc1C(=O)NCCCC,2.455
C#CCOc1cccc(OC(=O)NC)c1,3.136
C#CCSP(=O)(NC(=O)CC)OC,2.6460000000000004
C#CCSP(=O)(OCC)OCC,4.063
C#CCc1cc(COC(=O)C2C(C=C(C)C)C2(C)C)c(C)o1,1.332
C#CCc1ccc(COC(=O)C2C(C=C(C)C)C2(C)C)o1,1.457
C(=NC(N=Cc1ccco1)c1ccco1)c1ccco1,2.827
C(=NC1CCCCC1)=NC1CCCCC1,2.712
C(=NC1CCCCC1)c1ccccc1,1.784
C(=NCCCCCCN=Cc1ccco1)c1ccco1,2.745
C(=Nc1ccc(N=Cc2ccco2)cc1)c1ccco1,2.336
C(CC1CO1)OCCC1CO1,2.17
C(CCOCC1CO1)COCC1CO1,2.251
C(COCC1CO1)OCC1CO1,1.795
C(Oc1nc(OCC2CO2)nc(OCC2CO2)n1)C1CO1,2.248
C1=C2CCCNC2C2CC1C1CCCCN1C2,2.685
C1=CC2CCC1C2,0.921
C1=CC=CCC=C1,3.209
C1=CCC(C2CC3C=CC2C3)CC1,1.609
C1=CCC(C2OCC3(CC=CCC3)CO2)CC1,1.655
C1=CCC=C1,2.767
C1=Cc2ccccc2CC1,1.664
C1=Nc2ccccc2Oc2ccccc21,2.54
C1C2CC3OC3C2CC2OC12,1.852
C1CC(C2CO2)OCC1C1CO1,2.009
C1CC2CC1C1SSSC21,2.802
C1CC2OC2CC1C1CO1,1.818
C1CCC(CNC2=NCCS2)CC1,3.5980000000000003
C1CCC(N2CCOCC2)CC1,2.978
C1CCC2CCCCC2C1,1.521
C1CCC2OC2C1,1.954
C1CCC2OCCOCCOC3CCCCC3OCCOCCOC2C1,3.326
C1CCC2OCCOCCOCCOC3CCCCC3OCCOCCOCCOC2C1,3.788
C1CCCC1,0.789
C1CCCCC1,0.821
C1CCSC1,1.702
C1CCc2c(OCCN3CCOCC3)n[nH]c2C1,2.196
C1CCc2nnnn2CC1,2.994
C1CN(SSN2CCOCC2)CCO1,1.74
C1CN(SSSSN2CCOCC2)CCO1,1.797
C1CN1,3.458
C1CN1P1(N2CC2)=NP(N2CC2)(N2CC2)=NP(N2CC2)(N2CC2)=N1,3.597
C1CN1c1nc(N2CC2)nc(N2CC2)n1,5.31
C1CN2CCN1CC2,1.819
C1CNCCN1,1.656
C1CNCCNC1,1.5490000000000002
C1CO1,2.787
C1COC(OCC2CO2)C(OCC2CO2)O1,2.337
C1COCCN1,1.919
C1COCCO1,1.3219999999999998
C1COCCOCCNCCOCCOCCN1,1.887
C1COCCOCCOCCO1,1.794
C1COCCOCCOCCOCCO1,2.194
C1COCCOCCOCCOCCOCCO1,2.279
C1COCO1,1.393
C1CS1,2.529
C1CSCCO1,1.5659999999999998
C1CSCCS1,1.638
C1C[SiH2]C1,1.671
C1OC1CSCC1CO1,3.66
C1OCC(COCC2COCO2)O1,1.568
C=C(C#N)C(=O)OC,1.842
C=C(C#N)CCO,2.399
C=C(C)C#N,2.747
C=C(C)C(=O)CC,2.37
C=C(C)C(=O)NCO,2.611
C=C(C)C(=O)Nc1ccc(Cl)c(Cl)c1,2.107
C=C(C)C(=O)Nc1ccc(O)cc1,2.2030000000000003
C=C(C)C(=O)OC=C(C)C,1.446
C=C(C)C(=O)OCC,0.887
C=C(C)C(=O)OCC(=O)OC(C)C,1.3159999999999998
C=C(C)C(=O)OCC(=O)OCC,1.339
C=C(C)C(=O)OCC(C)O,1.11
C=C(C)C(=O)OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C,1.751
C=C(C)C(=O)OCC1CO1,2.377
C=C(C)C(=O)OCCC#N,1.278
C=C(C)C(=O)OCCC[Si](OC)(OC)OC,1.022
C=C(C)C(=O)OCCCl,2.8710000000000004
C=C(C)C(=O)OCCN(C)C,1.953
C=C(C)C(=O)OCCN(CC)CC,1.596
C=C(C)C(=O)OCCN(CCOC(=O)C(=C)C)CCOC(=O)C(=C)C,1.5
C=C(C)C(=O)OCCN1CCCCC1,1.747
C=C(C)C(=O)OCCN=C=O,2.365
C=C(C)C(=O)OCCOCCOCCOC(=O)C(=C)C,1.422
C=C(C)C(=O)OCCSCC,1.372
C=C(C)C(=O)OC[Si]12OCCN(CCO1)CCO2,1.536
C=C(C)C(C)=O,2.67
C=C(C)C(OC(C)=O)OC(C)=O,2.593
C=C(C)C1CC=C(C)C(O)C1,1.705
C=C(C)C1CC=C(C)CC1,1.491
C=C(C)C1CC=C(C=NO)CC1,1.82
C=C(C)C1CCC(C)CC1O,2.216
C=C(C)C1Cc2c(ccc3c2OC2COc4cc(OC)c(OC)cc4C2C3=O)O1,3.818
C=C(C)C=NOC(=O)NC,3.1159999999999997
C=C(C)C=O,2.7
C=C(C)CC#N,2.177
C=C(C)CNCC,3.297
C=C(C)CNc1ccc(C(C)C(=O)O)cc1,2.6010000000000004
C=C(C)Cn1c(N)cc(=O)n(C)c1=O,2.097
C=C(C)OC(C)=O,1.523
C=C(C)c1cccc(C(C)(C)N=C=O)c1,1.812
C=C(C)c1ccccc1,1.382
C=C(CC(=O)c1ccc(-c2ccccc2Cl)cc1)C(=O)O,2.0980000000000003
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,2.482
C=C(Cl)C#N,3.544
C=C(Cl)C(=O)OC,3.249
C=C(Cl)C(OC(C)=O)OC(C)=O,2.779
C=C(Cl)CCl,2.54
C=C(Cl)COP(C)(=S)Oc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,3.274
C=C(Cl)COP(C)(=S)Oc1ccc([N+](=O)[O-])cc1,3.983
C=C(Cl)Cl,2.685
C=C(Cl)c1ccc([N+](=O)[O-])cc1,2.4130000000000003
C=C(O)CC(c1ccccc1)c1c(O)c2ccccc2oc1=O,4.472
C=C(OP(=O)(OC)OC)P(=O)(OC)OC,2.957
C=C(OP(=O)(OC)OC)P(=O)(OCC)OCC,3.284
C=C(OP(=O)(OC)OC)c1ccc(Cl)cc1Cl,2.102
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C=CC(C)C(C)C)CC(O)CC1O,5.072
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)C)CC(O)CC1O,5.104
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)CC1O,5.827000000000001
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)C)CC(O)CC1O,4.571000000000001
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(C(F)(F)F)C(F)(F)F)CC(O)CC1O,7.1
C=C1C(=O)OC2CC(C)C3C=CC(=O)C3(C)C(O)C12,3.322
C=C1CC(=CC)C(=O)OC2CCN3CC=C(COC(=O)C1(C)O)C23,3.636
C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
C=C1CC1CC(N)C(=O)O,3.159
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)C=CC(C)C(C)C,3.85
C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.962
C=C1CCC2CC1C2(C)C,1.462
C=C1c2c(Cl)ccc(O)c2C(=O)C2=C(O)C3(O)C(=O)C(C(N)=O)=C(O)C(N(C)C)C3C(O)C12,2.377
C=CBr,2.33
C=CC#CC(C)(C)O,2.264
C=CC#N,2.833
C=CC(=C)CCCC(C)(C)OC(C)=O,1.494
C=CC(=C)Cl,2.294
C=CC(=O)N(C)C,2.497
C=CC(=O)N(CC)CC,1.954
C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,2.853
C=CC(=O)NC(C)(C)CC(C)=O,1.927
C=CC(=O)NC(C)(C)CS(=O)(=O)O,1.584
C=CC(=O)NC(C)C,2.48
C=CC(=O)NC(OC)C(=O)OC,1.918
C=CC(=O)NCNC(=O)C=C,2.597
C=CC(=O)NCO,2.329
C=CC(=O)NCOC,2.842
C=CC(=O)NCOCC(C)C,2.201
C=CC(=O)NCOCCCC,2.184
C=CC(=O)OC1C=CC2C3C=CC(C3)C12,1.265
C=CC(=O)OC1CC2CCC1(C)C2(C)C,1.629
C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
C=CC(=O)OC1CCCCC1,1.246
C=CC(=O)OCC(C)(C)COC(=O)C=C,1.499
C=CC(=O)OCC(CC)(COC(=O)C=C)COC(=O)C=C,1.715
C=CC(=O)OCC(CC)CC,1.381
C=CC(=O)OCC(CC)CCCC,1.513
C=CC(=O)OCC(CO)(COC(=O)C=C)COC(=O)C=C,2.084
C=CC(=O)OCC1CC2C=CC1C2,2.122
C=CC(=O)OCCC#N,2.842
C=CC(=O)OCCC(=O)NC,2.302
C=CC(=O)OCCCC,2.154
C=CC(=O)OCCCCCC,0.779
C=CC(=O)OCCCCCCCC(C)C,1.295
C=CC(=O)OCCCCCCCCCC,1.517
C=CC(=O)OCCCCCCCCCCCCC,0.755
C=CC(=O)OCCCCCCOC(=O)C=C,1.656
C=CC(=O)OCCCCOC(=O)C=C,2.529
C=CC(=O)OCCCOCC,2.285
C=CC(=O)OCCC[Si](OC)(OC)OC,2.347
C=CC(=O)OCCCl,2.874
C=CC(=O)OCCN(C)C,2.498
C=CC(=O)OCCN(CC)CC,2.347
C=CC(=O)OCCO,2.252
C=CC(=O)OCCOC,2.507
C=CC(=O)OCCOC(=O)C=C,2.754
C=CC(=O)OCCOC(=O)CC(C)=O,2.138
C=CC(=O)OCCOC(=O)c1ccc(C(=O)O)cc1C(=O)O,1.985
C=CC(=O)OCCOCC,2.129
C=CC(=O)OCCOCCCC,1.423
C=CC(=O)OCCOCCOC(=O)C=C,2.729
C=CC(=O)OCCOCCOCCOC(=O)C=C,2.713
C=CC(=O)OCCOc1ccccc1,1.569
C=CC(=O)OCCSC,2.0580000000000003
C=CC(=O)OCCSCC,1.807
C=CC(=O)OOCCOC,2.242
C=CC(C)(CCC=C(C)C)OC(=O)C=Cc1ccccc1,1.456
C=CC(C)(CCC=C(C)C)OC(C)=O,1.149
C=CC(C)(O)CC,2.156
C=CC(C)(O)CCC=C(C)C,1.743
C=CC(C)=CCCC(C)(C)O,1.958
C=CC(C)=O,3.369
