Drug_ID,Drug,Y
"Methane, tribromo-",BrC(Br)Br,2.343
Bromoethene (9CI),C=CBr,2.33
"1,1'-Biphenyl, hexabromo-",Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465
"Isothiocyanic acid, p-bromophenyl ester",S=C=Nc1ccc(Br)cc1,2.729
"Benzene, bromo-",Brc1ccccc1,1.765
"2H-1,4-Benzodiazepin-2-one, 7-bromo-1,3-dihydro-5-(2-pyridinyl)-",O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,2.21
"Methane, dibromo-",BrCBr,3.207
"1-Propanol, 2,3-dibromo-, phosphate (3:1)",O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr,2.839
"2-Butene, 1,4-dibromo-",BrCC=CCBr,3.455
"Ethane, 1,2-dibromo-",BrCCBr,3.24
"Piperazine, 1,4-bis(3-bromo-1-oxopropyl)-",O=C(CCBr)N1CCN(C(=O)CCBr)CC1,3.209
2-Propynyl ether,C#CCOCC#C,2.242
"Ether, bis(3,4-epoxybutyl)",C(CC1CO1)OCCC1CO1,2.17
"Benzene, 1,1'-(oxybis(methylene))bis-",c1ccc(COCc2ccccc2)cc1,1.899
"Phosphoric acid, tris(trimethylsilyl) ester",C[Si](C)(C)OP(=O)(O[Si](C)(C)C)O[Si](C)(C)C,1.961
"Butanenitrile, 4-(dichloromethylsilyl)-",C[Si](Cl)(Cl)CCCC#N,1.809
"Succinimide, 2-methylene-N-(m-nitrophenyl)-",C=C1CC(=O)N(c2cccc([N+](=O)[O-])c2)C1=O,1.968
2-Propenenitrile,C=CC#N,2.833
"2-Propenamide, N,N'-methylenebis-",C=CC(=O)NCNC(=O)C=C,2.597
"Acrylic acid, 2-norbornyl ester",C=CC(=O)OC1CC2CCC1C2,1.4680000000000002
"Acrylic acid, ester with hydracrylonitrile",C=CC(=O)OCCC#N,2.842
"2-Propenoic acid, 1,2-ethanediyl ester",C=CC(=O)OCCOC(=O)C=C,2.754
"2-Propenoic acid, 2-phenoxyethyl ester",C=CC(=O)OCCOc1ccccc1,1.569
"2-Propenoic acid, oxydi-2,1-ethanediyl ester",C=CC(=O)OCCOCCOC(=O)C=C,2.729
"1,3-Butadiene",C=CC=C,0.994
"Hexa-1,3,5-triene, mixed isomers",C=CC=CC=C,2.582
