SMILES,pLD50,source
Br.Br.CC(C)(c1ccccc1)c1cc(CN2CCCCC2)c(O)c(CN2CCCCC2)c1,2.9765318523670072,USA data.gov
Br.C=CCN(C1=NCCN1)c1c(Cl)cccc1Cl,3.178043983493123,USA data.gov
Br.CC(Cc1ccc(O)cc1)NCC(O)c1cc(O)cc(O)c1,2.3805164977152025,USA data.gov
Br.CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C1OC12,2.4808327594151702,USA data.gov
Br.CN1CCC2(C)CC(Cc3ccc(O)cc32)C1,2.989353859579066,USA data.gov
Br.COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.082990661416185,USA data.gov
Br.COc1ccc2c3c1OC1CC(O)C=C(CCN(C)C2)C31,3.6911062577009286,USA data.gov
Br.Cc1ccccc1C(OC1CC2CCC(C1)N2C)c1ccccc1,3.0025720776920632,USA data.gov
Br/C=C/Br,3.477,Hillary
Br/C=C/c1ccccc1,2.166,Hillary
BrC(Br)(Br)c1ccc2ccccc2n1,1.7490592425,"Hillary,TDC,TOXRIC,USA data.gov"
BrC(Br)Br,2.3879359849369273,"Hillary,TDC,TOXRIC,USA data.gov"
BrC(Br)C(Br)Br,2.459230170485567,"Hillary,TDC,TOXRIC,USA data.gov"
BrC/C=C/CBr,3.4965,Hillary
BrC1(Br)C2CCC1CC2,3.082554574017364,"TOXRIC,USA data.gov"
BrC12CC3CC(CC(C3)C1)C2,1.405,TDC
BrC=CBr,3.476761529,"TDC,TOXRIC,USA data.gov"
BrC=Cc1ccccc1,2.165654975092264,"TDC,TOXRIC,USA data.gov"
BrCBr,3.206856733216607,"Hillary,TDC,TOXRIC,USA data.gov"
BrCC(Br)C1CCC(Br)C(Br)C1,2.1233849085396783,"Hillary,TOXRIC,USA data.gov"
BrCC=CCBr,3.496484308,"TDC,TOXRIC,USA data.gov"
BrCCBr,3.24,"Hillary,TDC,TOXRIC,USA data.gov"
BrCCCCCCBr,2.086306430529356,USA data.gov
BrCCc1ccccc1,2.358301090625334,"Hillary,TOXRIC,USA data.gov"
BrCc1cccc(Oc2ccccc2)c1,2.053783628630697,"Hillary,TDC,TOXRIC,USA data.gov"
Brc1c(Br)c(Br)c(OCCOc2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,1.814441578,TOXRIC
Brc1c[nH]cn1,2.769,"Hillary,TDC"
Brc1cc2c(cc1Br)Oc1cc(Br)c(Br)cc1O2,6.6988885675,"Hillary,TDC,TOXRIC,USA data.gov"
Brc1ccc(-c2c(Br)c(Br)c(Br)c(Br)c2Br)c(Br)c1Br,2.594049841937299,USA data.gov
Brc1ccc(-c2ccc(Br)c(Br)c2Br)c(Br)c1Br,1.465,TDC
